Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-03-01,69.645,72.734,69.203,72.686,354630
2017-03-02,73.078,74.491,71.607,72.274,231606
2017-03-03,72.568,72.588,71.116,71.607,141707
2017-03-06,71.607,71.882,69.694,69.743,153534
2017-03-07,69.449,72.49,67.301,71.872,421561
2017-03-08,72.098,72.588,70.724,71.783,234140
2017-03-09,71.783,71.803,69.821,71.116,134377
2017-03-10,71.116,72.941,71.116,71.783,132959
2017-03-13,72.294,72.676,70.803,71.607,128475
2017-03-14,72.098,72.686,71.705,72.686,166406
2017-03-15,73.078,74.54,72.166,72.568,301561
2017-03-16,73.765,74.942,73.471,74.55,186469
2017-03-17,75.04,75.53,74.55,75.53,239011
2017-03-20,75.53,75.923,74.55,75.03,140004
2017-03-21,75.03,75.03,74.049,74.824,194046
2017-03-22,73.961,73.961,71.116,72.49,283594
2017-03-23,72.107,74.844,72.107,74.314,104959
2017-03-24,74.304,74.795,73.353,74.255,109215
2017-03-27,73.088,74.158,72.245,72.686,82637
2017-03-28,73.235,73.814,71.215,71.803,174868
2017-03-29,71.803,72.568,71.116,71.225,125329
2017-03-30,73.128,75.815,71.627,73.078,392866
2017-03-31,74.059,74.344,72.294,72.784,139006
2017-04-03,73.461,73.461,72.009,72.372,92659
2017-04-04,71.999,72.98,71.999,72.284,90110
2017-04-05,72.391,73.353,71.892,71.901,126629
2017-04-06,69.155,72.098,69.155,70.871,116168
2017-04-07,70.871,71.087,69.645,70.626,116542
2017-04-10,70.43,70.626,67.379,67.595,293971
2017-04-11,67.684,68.311,64.525,65.133,963776
2017-04-12,64.652,66.506,64.642,64.986,428808
2017-04-13,65.034,65.604,61.023,63.563,517941
2017-04-18,64.054,67.575,63.789,65.23,321338
2017-04-19,65.721,68.713,65.525,68.713,232370
2017-04-20,69.645,70.528,66.8,67.301,192255
2017-04-21,67.272,67.88,65.28,65.436,242384
2017-04-24,66.016,66.555,64.545,65.476,133416
2017-04-25,65.721,66.114,63.662,64.545,276238
2017-04-26,64.25,64.25,62.289,63.858,340206
2017-04-27,63.759,66.339,63.475,66.153,172691
2017-04-28,66.398,66.85,66.114,66.496,196658
2017-05-02,67.163,69.841,66.516,67.684,180292
2017-05-04,68.644,68.939,64.77,66.339,181125
2017-05-05,64.937,67.183,64.78,66.123,192248
2017-05-08,66.702,67.193,65.23,65.23,89798
2017-05-09,65.309,66.202,64.368,64.741,196656
2017-05-10,64.741,67.428,64.397,67.428,211386
2017-05-11,67.605,67.88,66.242,66.712,77169
2017-05-12,65.977,67.183,65.82,66.016,94065
2017-05-15,67.487,67.487,65.359,65.82,202995
2017-05-16,64.848,66.252,64.741,65.064,150546
2017-05-17,64.741,64.986,63.269,64.348,227456
2017-05-18,64.299,65.436,63.269,64.25,200419
2017-05-19,64.888,65.319,64.309,64.927,182833
2017-05-22,65.23,68.154,65.23,67.585,238648
2017-05-23,68.163,68.163,66.654,67.684,172871
